Id,SalePrice
1461,120757.6679818429
1462,154152.52097161583
1463,187526.67256432728
1464,187810.0374882342
1465,195720.81256698683
1466,175962.200010094
1467,169703.72926382747
1468,173135.24949116373
1469,191386.3157386512
1470,123364.19185841095
1471,201702.12210917738
1472,93841.34229893047
1473,99852.8667756185
1474,159018.87638701382
1475,137768.4148790447
1476,378769.76997228805
1477,248751.4114202906
1478,300677.8088468838
1479,279956.72039245535
1480,461829.00326605694
1481,342929.37315505196
1482,204034.5446469693
1483,168561.76507193863
1484,174105.8010331069
1485,172983.819207482
1486,193850.18323997856
1487,359244.1100169807
1488,240966.05958427172
1489,195948.35920363953
1490,217506.38146846803
1491,192537.7172102356
1492,89722.91443228789
1493,181066.62633130568
1494,313868.0610317392
1495,330393.5045587469
1496,238719.1259296666
1497,185109.88011349764
1498,164261.2515260879
1499,165884.90858135387
1500,147186.1824623244
1501,171747.45689697712
1502,154281.13606798352
1503,272373.8252428719
1504,231981.61013372088
1505,230951.20963395853
1506,177773.68132432102
1507,238999.6724606055
1508,212444.74465599554
1509,164667.91491015957
1510,144791.96410666654
1511,142568.27520109748
1512,164237.21669711662
1513,145309.00677464833
1514,170132.1154361335
1515,196614.92256210453
1516,169953.77817523413
1517,158537.63486835675
1518,135254.10721009708
1519,224718.73608152624
1520,135893.3267207646
1521,135606.53343184286
1522,164631.75897300578
1523,111819.22709265462
1524,129059.5611331661
1525,128659.39551222895
1526,123694.43616982466
1527,101882.06359253949
1528,130857.06781118612
1529,148556.079727032
1530,177632.0939229331
1531,106605.57439525178
1532,103912.07643538767
1533,134427.9166716644
1534,120208.18832548095
1535,160891.28693614935
1536,108692.14468306236
1537,67311.05090514776
1538,173820.3414858481
1539,219653.53494603743
1540,93372.94436843996
1541,156621.17069619088
1542,143182.34309464073
1543,220542.3350693105
1544,74999.8783286091
1545,102305.49570305858
1546,127195.52725403714
1547,123718.11253326191
1548,129352.99690573971
1549,110750.5933760955
1550,141822.8899969472
1551,111673.25244056765
1552,130011.6325900371
1553,139001.50602994394
1554,108587.80345927543
1555,167618.58555183807
1556,78777.21292233883
1557,104781.44265830998
1558,87906.99521143686
1559,68655.01456338614
1560,135054.00817189386
1561,130884.2581086141
1562,131304.03116328013
1563,123886.95645937767
1564,160684.42691052504
1565,150825.9637984154
1566,243635.18424014506
1567,76063.95778170244
1568,232509.96368830942
1569,139322.46413784547
1570,125359.99472949302
1571,130114.49695633304
1572,150951.5601167571
1573,257054.24990672886
1574,113976.30298384668
1575,217919.08705316653
1576,214584.7402962945
1577,181647.8181242302
1578,150780.43362083848
1579,141870.0411408472
1580,190917.7199045691
1581,141204.16234897447
1582,128367.27328572287
1583,317759.378648848
1584,227062.01539145777
1585,141082.6927481539
1586,68895.68797176433
1587,96731.96672397977
1588,149194.13293732645
1589,91187.33084372646
1590,136589.6411135259
1591,102912.6356257859
1592,113447.81161778941
1593,128807.87212651387
1594,112373.33526446112
1595,113741.92596373195
1596,251229.83584864135
1597,194875.32470697534
1598,211451.2524878245
1599,189264.07683901602
1600,183791.61716062465
1601,68610.33169128986
1602,101898.98773788192
1603,79968.82820689798
1604,272578.3786599919
1605,277523.38041285065
1606,165856.66715253933
1607,162681.79732472237
1608,206228.19325394157
1609,181990.89552129584
1610,146508.23018600268
1611,146011.90054581538
1612,162517.09439977453
1613,159337.88723296853
1614,127460.91606370031
1615,87259.05836453283
1616,77941.68586038217
1617,94543.69712673192
1618,130240.99748565168
1619,135869.17028367656
1620,154797.89021892624
1621,133462.0882916233
1622,140327.96061404276
1623,289632.3918602862
1624,214757.49150723376
1625,129653.6308476578
1626,170548.1528634642
1627,191898.61594425168
1628,290852.730349172
1629,183612.14380618487
1630,382209.130801871
1631,221083.10132781326
1632,247865.8247431452
1633,170778.9337756057
1634,191099.55019911472
1635,184488.1341968428
1636,160701.9318582208
1637,183012.78880047522
1638,207528.10270433122
1639,183655.645155646
